Date,Fund,benchmark
2008-09-02,-0.01633,-0.01307
2008-09-03,-0.02584,-0.02067
2008-09-04,-0.03599,-0.03838
2008-09-05,-0.03580,-0.03838
2008-09-08,-0.04554,-0.03838
2008-09-09,-0.06524,-0.05947
2008-09-10,-0.05508,-0.04597
2008-09-11,-0.05309,-0.03754
2008-09-12,-0.04642,-0.03585
2008-09-15,-0.05957,-0.06158
2008-09-16,-0.05935,-0.05863
2008-09-17,-0.06052,-0.08393
2008-09-18,-0.05948,-0.07043
2008-09-19,-0.04129,-0.04218
2008-09-22,-0.04410,-0.06242
2008-09-23,-0.04866,-0.06959
2008-09-24,-0.04842,-0.07170
2008-09-25,-0.05211,-0.06664
2008-09-26,-0.06432,-0.08393
2008-09-29,-0.08581,-0.12990
2008-09-30,-0.08239,-0.10310
2008-10-01,-0.08063,-0.10733
2008-10-02,-0.07799,-0.13736
2008-10-03,-0.07536,-0.13862
2008-10-06,-0.06920,-0.15554
2008-10-07,-0.07360,-0.18133
2008-10-08,-0.07887,-0.17922
2008-10-09,-0.08063,-0.20205
2008-10-10,-0.08766,-0.21559
2008-10-13,-0.08766,-0.21559
2008-10-14,-0.08942,-0.17245
2008-10-15,-0.08766,-0.20713
2008-10-16,-0.08678,-0.19783
2008-10-17,-0.08854,-0.19233
2008-10-20,-0.08854,-0.15765
2008-10-21,-0.08590,-0.17711
2008-10-22,-0.08239,-0.20079
2008-10-23,-0.08327,-0.19571
2008-10-24,-0.08678,-0.20544
2008-10-27,-0.08678,-0.23377
2008-10-28,-0.09030,-0.19444
2008-10-29,-0.09206,-0.19402
2008-10-30,-0.09030,-0.17584
2008-10-31,-0.09248,-0.17964
2008-11-03,-0.09248,-0.18599
2008-11-04,-0.08983,-0.17034
2008-11-05,-0.08718,-0.18683
2008-11-06,-0.08453,-0.20671
2008-11-07,-0.08277,-0.19656
2008-11-10,-0.08277,-0.19444
2008-11-11,-0.08277,-0.20797
2008-11-12,-0.07924,-0.22700
2008-11-13,-0.08365,-0.20417
2008-11-14,-0.08012,-0.22108
2008-11-17,-0.07747,-0.23292
2008-11-18,-0.07835,-0.22785
2008-11-19,-0.07835,-0.24646
2008-11-20,-0.07394,-0.27479
2008-11-21,-0.07835,-0.25322
2008-11-24,-0.07924,-0.23927
2008-11-25,-0.07482,-0.23758
2008-11-26,-0.07217,-0.21981
2008-11-27,-0.07217,-0.21643
2008-11-28,-0.07069,-0.19825
2008-12-01,-0.06272,-0.23842
2008-12-02,-0.06360,-0.23292
2008-12-03,-0.06537,-0.23081
2008-12-04,-0.06183,-0.23927
2008-12-05,-0.06272,-0.23250
2008-12-08,-0.06360,-0.21432
2008-12-09,-0.06183,-0.21643
2008-12-10,-0.06272,-0.20501
2008-12-11,-0.06183,-0.22066
2008-12-12,-0.06449,-0.21432
2008-12-15,-0.06360,-0.22024
2008-12-16,-0.05829,-0.20332
2008-12-17,-0.05740,-0.20628
2008-12-18,-0.05120,-0.21474
2008-12-19,-0.04966,-0.20834
2008-12-22,-0.04966,-0.22361
2008-12-23,-0.04966,-0.22488
2008-12-24,-0.04966,-0.22488
2008-12-25,-0.04966,-0.22488
2008-12-26,-0.04966,-0.22488
2008-12-29,-0.04167,-0.21088
2008-12-30,-0.04344,-0.19900
2008-12-31,-0.04344,-0.18967
2009-01-01,-0.04344,-0.18967
2009-01-02,-0.05293,-0.17864
2009-01-05,-0.06049,-0.17991
2009-01-06,-0.06099,-0.17185
2009-01-07,-0.05696,-0.18500
2009-01-08,-0.05716,-0.18543
2009-01-09,-0.05099,-0.19222
2009-01-12,-0.04444,-0.20240
2009-01-13,-0.04353,-0.19688
2009-01-14,-0.03393,-0.20749
2009-01-15,-0.03626,-0.20113
2009-01-16,-0.03970,-0.19985
2009-01-19,-0.04313,-0.20282
2009-01-20,-0.04071,-0.22488
2009-01-21,-0.04364,-0.21088
2009-01-22,-0.04516,-0.22319
2009-01-23,-0.05100,-0.22319
2009-01-26,-0.05474,-0.22107
2009-01-27,-0.05252,-0.21470
2009-01-28,-0.05564,-0.20325
2009-01-29,-0.05889,-0.21810
2009-01-30,-0.05845,-0.22446
